City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
166,Oistins,BB,2022-01-24 15:30:47,13.0667,-59.5333,82.49,57,40,23.02,scattered clouds
167,Tuktoyaktuk,CA,2022-01-24 15:30:48,69.4541,-133.0374,1.4,85,40,10.36,scattered clouds
168,Tambilil,PH,2022-01-24 15:30:48,5.9622,124.6697,78.69,85,100,3.27,overcast clouds
169,Ilulissat,GL,2022-01-24 15:30:49,69.2167,-51.1,15.82,48,100,19.57,overcast clouds
170,Altay,CN,2022-01-24 15:30:49,47.8667,88.1167,1.58,74,53,6.78,broken clouds
171,Mangrol,IN,2022-01-24 15:30:49,21.1167,70.1167,64.8,53,0,6.62,clear sky
172,Aranos,NA,2022-01-24 15:30:50,-24.1333,19.1167,82.44,25,80,15.7,broken clouds
173,Kyabe,TD,2022-01-24 15:30:50,9.4515,18.9449,93.06,14,56,2.42,broken clouds
174,Pudozh,RU,2022-01-24 15:30:51,61.8099,36.5345,28.51,95,100,13.71,overcast clouds
175,Stolin,BY,2022-01-24 15:30:51,51.8912,26.846,11.37,97,12,2.93,few clouds
176,Sarakhs,IR,2022-01-24 15:30:51,36.5449,61.1577,42.94,56,2,4.61,clear sky
177,Mirador,BR,2022-01-24 15:30:52,-6.3708,-44.3631,84.63,67,44,4.38,scattered clouds
178,Marystown,CA,2022-01-24 15:30:52,47.1666,-55.1483,37.85,100,100,5.01,overcast clouds
179,Ponta Do Sol,PT,2022-01-24 15:30:52,32.6667,-17.1,65.01,77,91,5.84,overcast clouds
180,Ahipara,NZ,2022-01-24 15:30:53,-35.1667,173.1667,66.47,93,100,11.83,overcast clouds
181,San Cristobal,VE,2022-01-24 15:30:53,7.7669,-72.225,75.38,50,65,6.62,broken clouds
182,Haines Junction,CA,2022-01-24 15:30:53,60.7522,-137.5108,17.33,98,100,4.0,overcast clouds
183,Souillac,MU,2022-01-24 15:30:53,-20.5167,57.5167,79.18,69,40,13.8,scattered clouds
184,Dunedin,NZ,2022-01-24 15:31:00,-45.8742,170.5036,58.8,92,77,1.99,broken clouds
185,Shimoda,JP,2022-01-24 15:31:54,34.6667,138.95,40.1,65,100,9.71,overcast clouds
186,Wawa,NG,2022-01-24 15:31:54,9.9022,4.4192,90.23,14,0,6.85,clear sky
187,Dongsheng,CN,2022-01-24 15:31:55,39.8161,109.9776,18.84,50,0,10.13,clear sky
188,Kinkala,CG,2022-01-24 15:31:55,-4.3614,14.7644,91.71,84,57,3.02,moderate rain
189,Coahuayana,MX,2022-01-24 15:31:55,18.7333,-103.6833,76.48,36,83,1.45,broken clouds
190,Yulara,AU,2022-01-24 15:31:56,-25.2406,130.9889,82.24,36,0,9.22,clear sky
191,Borbon,PH,2022-01-24 15:31:56,10.838,124.0297,78.69,92,100,9.1,moderate rain
192,Oranjemund,NA,2022-01-24 15:31:56,-28.55,16.4333,73.02,71,28,21.5,scattered clouds
193,Anadyr,RU,2022-01-24 15:31:57,64.75,177.4833,-23.3,76,20,11.18,fog
194,Namibe,AO,2022-01-24 15:31:57,-15.1961,12.1522,78.37,79,25,12.5,scattered clouds
195,Inta,RU,2022-01-24 15:31:57,66.0317,60.1659,6.91,85,33,10.13,scattered clouds
196,Erzin,TR,2022-01-24 15:31:58,36.9559,36.2,43.32,78,29,1.52,scattered clouds
197,Tarakan,ID,2022-01-24 15:31:58,3.3,117.6333,78.3,94,20,3.44,few clouds
198,Batagay-Alyta,RU,2022-01-24 15:31:58,67.8006,130.4114,-13.2,99,98,2.46,overcast clouds
199,The Valley,AI,2022-01-24 15:31:59,18.217,-63.0578,84.06,78,75,14.97,broken clouds
200,Thompson,CA,2022-01-24 15:31:59,55.7435,-97.8558,-23.64,69,20,9.22,few clouds
201,Atasu,KZ,2022-01-24 15:31:59,48.6814,71.6433,8.37,84,100,7.81,overcast clouds
202,Itaituba,BR,2022-01-24 15:32:00,-4.2761,-55.9836,86.16,70,75,11.5,light rain
203,Henties Bay,NA,2022-01-24 15:32:00,-22.116,14.2845,78.85,67,7,12.41,clear sky
204,Carnarvon,AU,2022-01-24 15:32:00,-24.8667,113.6333,77.07,78,0,24.16,clear sky
205,Cururupu,BR,2022-01-24 15:31:00,-1.8283,-44.8683,86.22,59,97,7.81,overcast clouds
206,Vostok,RU,2022-01-24 15:32:01,46.4856,135.8833,-11.9,99,83,4.76,broken clouds
207,Sisimiut,GL,2022-01-24 15:32:01,66.9395,-53.6735,19.94,68,100,15.82,overcast clouds
208,Verkhoyansk,RU,2022-01-24 15:32:01,67.5447,133.385,-17.84,100,100,0.2,overcast clouds
209,Chengde,CN,2022-01-24 15:32:02,40.9725,117.9361,17.69,95,98,2.48,overcast clouds
210,Paamiut,GL,2022-01-24 15:32:02,61.994,-49.6678,27.95,97,100,17.74,snow
